t,vout,dctrl
0.001656,5.856498,5.975999
0.001658,5.853885,5.975999
0.001660,5.848659,5.979999
0.001662,5.843617,5.979999
0.001664,5.841047,5.979999
0.001666,5.840943,5.979999
0.001668,5.843300,5.979999
0.001670,5.848113,5.979999
0.001672,5.852582,5.979999
0.001674,5.854425,5.979999
0.001676,5.853646,5.979999
0.001678,5.850247,5.979999
0.001680,5.844238,5.983999
0.001682,5.838418,5.983999
0.001684,5.835072,5.983999
0.001686,5.834195,5.983999
0.001688,5.835785,5.983999
0.001690,5.839836,5.983999
0.001692,5.843548,5.983999
0.001694,5.844637,5.983999
0.001696,5.843109,5.983999
0.001698,5.838969,5.983999
0.001700,5.832224,5.987999
0.001702,5.825674,5.987999
0.001704,5.821606,5.987999
0.001706,5.820014,5.987999
0.001708,5.820894,5.987999
0.001710,5.824242,5.987999
0.001712,5.827260,5.987999
0.001714,5.827662,5.987999
0.001716,5.825456,5.987999
0.001718,5.820646,5.987999
0.001720,5.813240,5.992000
0.001722,5.806038,5.992000
0.001724,5.801326,5.992000
0.001726,5.799101,5.992000
0.001728,5.799358,5.992000
0.001730,5.802093,5.992000
0.001732,5.804506,5.992000
0.001734,5.804316,5.992000
0.001736,5.801526,5.992000
0.001738,5.796144,5.992000
0.001740,5.788177,5.996000
0.001742,5.780424,5.996000
0.001744,5.775173,5.996000
0.001746,5.772419,5.996000
0.001748,5.772161,5.996000
0.001750,5.774391,5.996000
0.001752,5.776312,5.996000
0.001754,5.775642,5.996000
0.001756,5.772385,5.996000
0.001758,5.766549,5.996000
0.001760,5.758139,6.000000
0.001762,5.749958,6.000000
0.001764,5.744291,6.000000
0.001766,5.741135,6.000000
0.001768,5.740486,6.000000
0.001770,5.742341,6.000000
0.001772,5.743900,6.000000
0.001774,5.742879,6.000000
0.001776,5.739287,6.000000
0.001778,5.733130,6.000000
0.001780,5.724413,6.004000
0.001782,5.715938,6.004000
0.001784,5.709992,6.004000
0.001786,5.706571,6.004000
0.001788,5.705672,6.004000
0.001790,5.707291,6.004000
0.001792,5.709136,6.004000
0.001794,5.708416,6.004000
0.001796,5.705137,6.004000
0.001798,5.699306,6.004000
0.001800,5.690928,6.008000
0.001802,5.682805,6.008000
0.001804,5.677222,6.008000
0.001806,5.674178,6.008000
0.001808,5.673668,6.008000
0.001810,5.675687,6.008000
0.001812,5.677945,6.008000
0.001814,5.677649,6.008000
0.001816,5.674805,6.008000
0.001818,5.669419,6.008000
0.001820,5.661498,6.012001
0.001822,5.653844,6.012001
0.001824,5.648741,6.012001
0.001826,5.646186,6.012001
0.001828,5.646175,6.012001
0.001830,5.648704,6.012001
0.001832,5.651481,6.012001
0.001834,5.651714,6.012001
0.001836,5.649409,6.012001
0.001838,5.644571,6.012001
0.001840,5.637208,6.016001
0.001842,5.630117,6.016001
0.001844,5.625587,6.016001
0.001846,5.623614,6.016001
0.001848,5.624193,6.016001
0.001850,5.627317,6.016001
0.001852,5.630699,6.016001
0.001854,5.631543,6.016001
